Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,NACH,NAIN,Segment Length,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth
30229,612217.357723,4843029.08807,612328.548507,4842979.59986,3.1070461,-1,4,0.30705744,0.82263035,121.7065,64,6234.1284,70707,801953.31
30230,616834.197979,4844787.55412,616931.874293,4844816.95209,0.84455091,-1,2,0,0.81247509,102.00443,0,6157.1689,70707,811977.06
30231,613674.538383,4844394.6199,613697.09281,4844468.5804,3.3431101,-1,5,0.84622467,0.91925561,77.323067,90244,6966.3848,70707,717657.75
30232,613663.965641,4844386.19729,613674.538383,4844394.6199,4.2634854,-1,4,0.79076135,0.87779963,13.517514,44307,6652.2178,70707,751550.81
30233,613653.97229,4844398.57664,613663.965641,4844386.19729,2.5492463,-1,2,0,0.80258906,15.909595,0,6082.2495,70707,821978.75
30234,613653.97229,4844398.57664,613674.538383,4844394.6199,4.8209658,-1,4,0,0.85945499,20.943254,0,6513.1968,70707,767592.31
30235,613673.956829,4844324.55882,613674.538383,4844394.6199,4.5020099,-1,5,0.88863015,0.93537456,70.063499,157411,7088.5386,70707,705290.62
30236,619063.945129,4845422.42935,619133.647403,4845446.08742,2.121913,-1,4,0.93262535,1.0034392,73.607819,266616,7604.3535,70707,657449.69
30237,619042.922108,4845415.31739,619063.945129,4845422.42935,3.3328872,-1,5,0.91891015,1.0034391,22.193407,221867,7604.353,70707,657449.75
30238,618917.003102,4845320.8397,618956.236354,4845379.66735,1.3864022,-1,3,0.87786609,0.96081448,70.710258,133000,7281.3306,70707,686616.25
30239,618956.236354,4845379.66735,619042.922108,4845415.31739,2.1277606,-1,4,0.90186888,0.99924612,93.730179,177251,7572.5771,70707,660208.5
30240,612556.595277,4845741.27578,612569.392699,4845722.82218,2.0893652,-1,4,1.2057518,1.1169288,22.456833,9094769,8464.415,70707,590646.88
30241,612556.595277,4845741.27578,612621.344553,4845779.04406,4.0047545,-1,4,0.98843116,0.99516386,74.959404,567692,7541.6401,70707,662916.75
30242,619102.06863,4845208.48348,619134.281759,4845201.91752,2.042907,-1,2,0,0.90302193,32.875484,0,6843.3608,70707,730559.19
30243,619122.71963,4845237.13451,619134.281759,4845201.91752,2.3683426,-1,4,0.99985361,0.96547371,37.066422,681962,7316.6396,70707,683302.75
30244,619112.013013,4845233.88752,619122.71963,4845237.13451,1.9900274,-1,2,0,0.87622225,11.188146,0,6640.2642,70707,752903.75
30245,619079.377816,4845376.47704,619122.71963,4845237.13451,1.3166525,-1,4,0.96919566,0.96469527,145.92757,452087,7310.7402,70707,683854.12
30246,619063.945129,4845422.42935,619079.377816,4845376.47704,3.7400732,-1,4,0.4329263,0.96351975,48.474552,335,7301.8315,70707,684688.44
30247,619042.922108,4845415.31739,619079.377816,4845376.47704,4.3451347,-1,5,0.91520804,0.93707806,53.269051,224776,7101.4482,70707,704008.5
30248,616385.730509,4839334.84698,616515.686525,4839380.33626,3.0340867,-1,5,1.0472616,1.040071,137.68747,1192664,7881.9614,70707,634293.88
30249,616515.686525,4839380.33626,616659.830405,4839430.77938,2.9750085,-1,5,1.052845,1.040072,152.71532,1285032,7881.9683,70707,634293.31
30250,616324.366368,4839513.74523,616454.21648,4839558.06562,3.0793664,-1,5,1.0256283,1.0416272,137.20549,891927,7893.7544,70707,633346.25
30251,616454.21648,4839558.06562,616599.655957,4839607.70123,2.9348826,-1,5,1.0391253,1.0416298,153.67607,1068152,7893.7739,70707,633344.69
30252,632022.516001,4845336.72687,632099.950345,4845359.0722,2.3638232,-1,4,1.0362115,1.0018929,80.593987,1069626,7592.6357,70707,658464.31
30253,631978.436261,4845295.43656,632022.516001,4845336.72687,1.246917,-1,3,1.0253304,0.97058672,60.397961,955115,7355.3877,70707,679703.12
30254,616467.192349,4839495.96249,616478.525215,4839493.72243,3.2912102,-1,4,0.91207159,0.87351859,11.552129,229737,6619.7749,70707,755234.12
30255,616476.999634,4839478.10836,616478.525215,4839493.72243,5.5264044,-1,6,0.41539395,0.90884089,15.688422,271,6887.4585,70707,725881.69
30256,616454.21648,4839558.06562,616467.192349,4839495.96249,2.9333093,-1,4,0.96403998,0.93875736,63.444248,433062,7114.1748,70707,702749.12
30257,615256.751156,4845361.23602,615259.403672,4845345.74864,3.2569427,-1,5,1.2930431,1.1524904,15.712892,27859828,8733.9111,70707,572421.69
30258,615261.729521,4844922.44935,615291.18512,4845112.66383,1.5251749,-1,3,1.2936481,1.1577841,192.48164,27918172,8774.0283,70707,569804.38
