row_id,Ref,area_name,Angular Connectivity,Connectivity,NACH,NAIN,Segment Length,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth
259,259,The Kingsway,2.669661,4,0.81996775,0.91543037,131.01505,63554.0,6937.395,70707,720656.62
260,260,The Kingsway,2.9366002,4,0.84221238,0.93528116,166.02493,84256.0,7087.8311,70707,705361.06
261,261,Village of Islington,4.053225,6,1.0117834,1.0191364,95.600861,757874.0,7723.312,70707,647323.31
261,261,The Kingsway,4.053225,6,1.0117834,1.0191364,95.600861,757874.0,7723.312,70707,647323.31
262,262,Village of Islington,3.0502107,5,0.96114987,0.96269941,127.46769,406574.0,7295.6147,70707,685271.88
262,262,The Kingsway,3.0502107,5,0.96114987,0.96269941,127.46769,406574.0,7295.6147,70707,685271.88
269,269,Shop The Queensway,1.9472263,4,1.2812924,1.1282436,49.75153,24499274.0,8550.1602,70707,584723.5
270,270,The Junction,4.0196042,4,0.1892167,0.85551065,48.382641,12.0,6483.3052,70707,771131.31
270,270,St. Clair Gardens,4.0196042,4,0.1892167,0.85551065,48.382641,12.0,6483.3052,70707,771131.31
271,271,Shop The Queensway,2.012058,4,1.2799344,1.1272808,82.450027,24087722.0,8542.8643,70707,585222.88
272,272,Shop The Queensway,2.0097928,4,1.2756023,1.1248914,43.866528,22802714.0,8524.7578,70707,586465.94
274,274,Village of Islington,4.0367203,6,0.93654221,1.0190502,93.057182,276946.0,7722.6592,70707,647378.0
274,274,The Kingsway,4.0367203,6,0.93654221,1.0190502,93.057182,276946.0,7722.6592,70707,647378.0
275,275,Regal Heights Village,2.9549479,4,0.49777424,0.94004768,48.454239,812.0,7123.9531,70707,701784.5
275,275,Hillcrest Village,2.9549479,4,0.49777424,0.94004768,48.454239,812.0,7123.9531,70707,701784.5
275,275,Wychwood Heights,2.9549479,4,0.49777424,0.94004768,48.454239,812.0,7123.9531,70707,701784.5
276,276,Village of Islington,3.9829962,5,0.82415509,0.96543229,167.29005,64363.0,7316.3252,70707,683332.06
276,276,The Kingsway,3.9829962,5,0.82415509,0.96543229,167.29005,64363.0,7316.3252,70707,683332.06
277,277,Village of Islington,4.0036545,6,0.95238781,0.9653759,166.27911,360460.0,7315.8979,70707,683372.0
277,277,The Kingsway,4.0036545,6,0.95238781,0.9653759,166.27911,360460.0,7315.8979,70707,683372.0
278,278,Village of Islington,2.0027511,4,1.1034746,1.0423723,24.415001,2521291.0,7899.4019,70707,632893.5
278,278,The Kingsway,2.0027511,4,1.1034746,1.0423723,24.415001,2521291.0,7899.4019,70707,632893.5
279,279,Village of Islington,3.0274551,5,1.0997303,1.0423717,93.837837,2398286.0,7899.397,70707,632893.88
279,279,The Kingsway,3.0274551,5,1.0997303,1.0423717,93.837837,2398286.0,7899.397,70707,632893.88
280,280,Village of Islington,4.010376,6,1.0983847,1.042276,94.964058,2355805.0,7898.6709,70707,632952.0
280,280,The Kingsway,4.010376,6,1.0983847,1.042276,94.964058,2355805.0,7898.6709,70707,632952.0
281,281,Village of Islington,4.0214705,6,0.93685114,0.96465981,92.603523,292757.0,7310.4717,70707,683879.25
281,281,The Kingsway,4.0214705,6,0.93685114,0.96465981,92.603523,292757.0,7310.4717,70707,683879.25
282,282,Village of Islington,3.0491557,5,1.0041999,1.0191507,97.510529,684735.0,7723.4204,70707,647314.19
282,282,The Kingsway,3.0491557,5,1.0041999,1.0191507,97.510529,684735.0,7723.4204,70707,647314.19
283,283,The Kingsway,1.9962336,4,0.97599912,1.0127043,18.36812,472426.0,7674.5674,70707,651434.75
284,284,The Kingsway,3.9249701,4,0.52346045,0.9397884,89.711746,1148.0,7121.9883,70707,701978.12
287,287,Parkdale Village,1.9974036,2,0.0,0.90058726,15.017485,0.0,6824.9097,70707,732534.19
287,287,West Queen West,1.9974036,2,0.0,0.90058726,15.017485,0.0,6824.9097,70707,732534.19
287,287,Ossington Avenue,1.9974036,2,0.0,0.90058726,15.017485,0.0,6824.9097,70707,732534.19
287,287,Little Portugal Toronto,1.9974036,2,0.0,0.90058726,15.017485,0.0,6824.9097,70707,732534.19
287,287,College West,1.9974036,2,0.0,0.90058726,15.017485,0.0,6824.9097,70707,732534.19
287,287,College Promenade,1.9974036,2,0.0,0.90058726,15.017485,0.0,6824.9097,70707,732534.19
287,287,Little Italy,1.9974036,2,0.0,0.90058726,15.017485,0.0,6824.9097,70707,732534.19
288,288,Shop The Queensway,4.0191731,6,0.95183837,0.93111968,90.846336,370328.0,7056.2935,70707,708513.56
289,289,Shop The Queensway,4.1129522,6,0.93835294,0.93069941,102.26128,308941.0,7053.1084,70707,708833.5
290,290,Shop The Queensway,3.0959361,5,0.99685085,1.0000836,207.10539,632401.0,7578.9233,70707,659655.69
291,291,Shop The Queensway,2.994978,4,0.95840472,0.90486628,94.638702,415821.0,6857.3369,70707,729070.12
292,292,Shop The Queensway,3.005491,5,0.84224921,0.99966806,86.445976,79701.0,7575.7749,70707,659929.81
293,293,Shop The Queensway,4.0074425,6,0.8809911,0.91457337,100.86967,144865.0,6930.9009,70707,721331.88
294,294,Shop The Queensway,4.0264883,6,0.83689839,1.001173,294.33789,74093.0,7587.1797,70707,658937.81
295,295,Shop The Queensway,4.0241342,6,1.0210609,1.0050553,293.03256,870322.0,7616.6006,70707,656392.5
296,296,Shop The Queensway,4.0354323,6,0.90284026,0.91457331,93.243179,194518.0,6930.9004,70707,721331.94
297,297,Shop The Queensway,4.0108166,6,0.8913489,0.91505408,83.735146,166509.0,6934.5439,70707,720952.94
298,298,Shop The Queensway,2.0197153,3,0.0,0.91298789,32.561977,0.0,6918.8857,70707,722584.56
299,299,Toronto Downtown West,1.0307764,2,0.0,0.85896009,13.677668,0.0,6509.4463,70707,768034.56
299,299,Queen Street West,1.0307764,2,0.0,0.85896009,13.677668,0.0,6509.4463,70707,768034.56
299,299,West Queen West,1.0307764,2,0.0,0.85896009,13.677668,0.0,6509.4463,70707,768034.56
299,299,Trinity-Bellwoods,1.0307764,2,0.0,0.85896009,13.677668,0.0,6509.4463,70707,768034.56
299,299,Chinatown,1.0307764,2,0.0,0.85896009,13.677668,0.0,6509.4463,70707,768034.56
299,299,Kensington Market,1.0307764,2,0.0,0.85896009,13.677668,0.0,6509.4463,70707,768034.56
299,299,Little Italy,1.0307764,2,0.0,0.85896009,13.677668,0.0,6509.4463,70707,768034.56
300,300,Shop The Queensway,2.9735913,4,0.91426843,1.0009773,180.77107,208960.0,7585.6963,70707,659066.69
304,304,Village of Islington,3.0345316,4,0.87268525,1.0204558,223.72983,117703.0,7733.3115,70707,646486.31
304,304,The Kingsway,3.0345316,4,0.87268525,1.0204558,223.72983,117703.0,7733.3115,70707,646486.31
305,305,Village of Islington,4.0402627,4,0.38179192,0.93460953,116.69835,170.0,7082.7412,70707,705867.94
306,306,Village of Islington,1.9707946,4,1.0370094,1.0349762,32.669643,1045305.0,7843.3511,70707,637416.31
307,307,Village of Islington,2.0345905,4,1.0464194,1.0363207,94.201561,1183785.0,7853.5396,70707,636589.38
307,307,The Kingsway,2.0345905,4,1.0464194,1.0363207,94.201561,1183785.0,7853.5396,70707,636589.38
